reward,length,result
-30.02000000000001,200,failure
-30.02000000000001,200,failure
-30.02000000000001,200,failure
-30.02000000000001,200,failure
-30.02000000000001,200,failure
-30.02000000000001,200,failure
-30.02000000000001,200,failure
-30.02000000000001,200,failure
-30.02000000000001,200,failure
-30.02000000000001,200,failure
-30.02000000000001,200,failure
-30.02000000000001,200,failure
-30.02000000000001,200,failure
-30.02000000000001,200,failure
-30.02000000000001,200,failure
-30.02000000000001,200,failure
-30.02000000000001,200,failure
-30.02000000000001,200,failure
-30.02000000000001,200,failure
-30.02000000000001,200,failure
-30.02000000000001,200,failure
-30.02000000000001,200,failure
-29.019999999999996,200,failure
-30.02000000000001,200,failure
-30.02000000000001,200,failure
-30.02000000000001,200,failure
-30.02000000000001,200,failure
-30.02000000000001,200,failure
-29.019999999999996,200,failure
-30.02000000000001,200,failure
-30.02000000000001,200,failure
-30.02000000000001,200,failure
-30.02000000000001,200,failure
-30.02000000000001,200,failure
-29.019999999999996,200,failure
-30.02000000000001,200,failure
-30.02000000000001,200,failure
-29.019999999999996,200,failure
-30.02000000000001,200,failure
-29.019999999999996,200,failure
-30.02000000000001,200,failure
-30.02000000000001,200,failure
-30.02000000000001,200,failure
-30.02000000000001,200,failure
-30.02000000000001,200,failure
-30.02000000000001,200,failure
-29.019999999999996,200,failure
-30.02000000000001,200,failure
-30.02000000000001,200,failure
-30.02000000000001,200,failure
