reward,length,result
-43.95000000000002,200,failure
-38.72,200,failure
-38.72,200,failure
-43.95000000000002,200,failure
-43.95000000000002,200,failure
-43.95000000000002,200,failure
-43.95000000000002,200,failure
-38.72,200,failure
-43.95000000000002,200,failure
-43.95000000000002,200,failure
-43.95000000000002,200,failure
-43.95000000000002,200,failure
-43.95000000000002,200,failure
-43.95000000000002,200,failure
-43.95000000000002,200,failure
-43.95000000000002,200,failure
-38.72,200,failure
-43.95000000000002,200,failure
-43.95000000000002,200,failure
-38.72,200,failure
-38.72,200,failure
-43.95000000000002,200,failure
-43.95000000000002,200,failure
-38.72,200,failure
-43.95000000000002,200,failure
-43.95000000000002,200,failure
-43.95000000000002,200,failure
-38.72,200,failure
-43.95000000000002,200,failure
-43.95000000000002,200,failure
-38.72,200,failure
-43.95000000000002,200,failure
-43.95000000000002,200,failure
-43.95000000000002,200,failure
-43.95000000000002,200,failure
-38.72,200,failure
-43.95000000000002,200,failure
-43.95000000000002,200,failure
-43.95000000000002,200,failure
-38.72,200,failure
-43.95000000000002,200,failure
-43.95000000000002,200,failure
-43.95000000000002,200,failure
-43.95000000000002,200,failure
-38.72,200,failure
-43.95000000000002,200,failure
-38.72,200,failure
-38.72,200,failure
-38.72,200,failure
-43.95000000000002,200,failure
