reward,length,result
-427.2,100,failure
-427.2,100,failure
-427.2,100,failure
-427.2,100,failure
-427.2,100,failure
-427.2,100,failure
-427.2,100,failure
-427.2,100,failure
-427.2,100,failure
-427.2,100,failure
-427.2,100,failure
-427.2,100,failure
-427.2,100,failure
-427.2,100,failure
-427.2,100,failure
-427.2,100,failure
-427.2,100,failure
-427.2,100,failure
-427.2,100,failure
-427.2,100,failure
-427.2,100,failure
-427.2,100,failure
-427.2,100,failure
-427.2,100,failure
-427.2,100,failure
-427.2,100,failure
-427.2,100,failure
-427.2,100,failure
-427.2,100,failure
-427.2,100,failure
-427.2,100,failure
-427.2,100,failure
-427.2,100,failure
-427.2,100,failure
-427.2,100,failure
-427.2,100,failure
-427.2,100,failure
-427.2,100,failure
-427.2,100,failure
-427.2,100,failure
-427.2,100,failure
-427.2,100,failure
-427.2,100,failure
-427.2,100,failure
-427.2,100,failure
-427.2,100,failure
-427.2,100,failure
-427.2,100,failure
-427.2,100,failure
-427.2,100,failure
